,Answer,Confidence,Class,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,sum_prediction
0,1 hour,0.9,1,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.5882352941,0.05882352941,0.99999999997
1,There is no way to know without additional information,1.0,0,0.0625,0.0625,0.0625,0.0625,0.4375,0.0625,0.0625,0.1875,1.0
2,1000000 hours,0.6,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.25,0.1875,1.0
3,1000 hours,0.3,0,0.05882352941,0.05882352941,0.1176470588,0.17647058820000003,0.17647058820000003,0.17647058820000003,0.1176470588,0.1176470588,0.9999999998200002
4,Infinity ,0.8,0,0.09090909091,0.09090909091,0.1818181818,0.1818181818,0.09090909091,0.09090909091,0.1818181818,0.09090909091,0.99999999995
5,Infinity ,0.7,0,0.06666666667,0.1333333333,0.2,0.06666666667,0.06666666667,0.06666666667,0.2,0.2,0.99999999998
6,1 hour,0.5,1,0.07692307692,0.1538461538,0.2307692308,0.1538461538,0.07692307692,0.07692307692,0.1538461538,0.07692307692,0.99999999988
7,Infinity ,0.9,0,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.33333333330000003,0.16666666670000002,0.9999999999800002
8,1000 hours,0.1,0,0.1875,0.1875,0.1875,0.1875,0.0625,0.0625,0.0625,0.0625,1.0
9,1000000 hours,0.6,0,0.0625,0.125,0.0625,0.0625,0.0625,0.375,0.125,0.125,1.0
10,1 hour,0.8,1,0.07142857142999999,0.2142857143,0.3571428571,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.9999999999800002
11,1000 hours,0.7,0,0.06666666667,0.1333333333,0.1333333333,0.33333333330000003,0.1333333333,0.06666666667,0.06666666667,0.06666666667,0.99999999988
12,There is no way to know without additional information,1.0,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.5625,1.0
13,1 hour,0.3,1,0.08333333333000001,0.16666666670000002,0.16666666670000002,0.16666666670000002,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,1.00000000012
14,1000 hours,0.6,0,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.14285714289999998,1.00000000026
15,There is no way to know without additional information,0.7,0,0.07692307692,0.1538461538,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.1538461538,0.07692307692,0.99999999976
16,There is no way to know without additional information,0.1,0,0.05882352941,0.1176470588,0.1176470588,0.2352941176,0.17647058820000003,0.17647058820000003,0.05882352941,0.05882352941,0.9999999998300001
17,There is no way to know without additional information,0.1,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
18,Infinity ,0.9,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
19,There is no way to know without additional information,0.4,0,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.06666666667,0.1333333333,0.46666666669999995,1.00000000002
20,1 hour,0.6,1,0.05882352941,0.2352941176,0.2941176471,0.1176470588,0.05882352941,0.05882352941,0.05882352941,0.1176470588,0.9999999999400001
21,1 hour,0.6,1,0.125,0.125,0.25,0.25,0.0625,0.0625,0.0625,0.0625,1.0
22,2000 hours,0.6,0,0.06666666667,0.06666666667,0.06666666667,0.2,0.33333333330000003,0.06666666667,0.06666666667,0.1333333333,0.99999999995
23,Infinity ,0.5,0,0.09090909091,0.09090909091,0.09090909091,0.1818181818,0.1818181818,0.1818181818,0.09090909091,0.09090909091,0.99999999995
24,There is no way to know without additional information,0.9,0,0.07692307692,0.1538461538,0.07692307692,0.1538461538,0.1538461538,0.07692307692,0.1538461538,0.1538461538,0.99999999976
25,2000 hours,0.4,0,0.07142857142999999,0.14285714289999998,0.28571428569999996,0.14285714289999998,0.14285714289999998,0.07142857142999999,0.07142857142999999,0.07142857142999999,1.00000000012
26,There is no way to know without additional information,0.4,0,0.09090909091,0.09090909091,0.09090909091,0.09090909091,0.09090909091,0.09090909091,0.1818181818,0.2727272727,0.99999999996
27,1 hour,0.7,1,0.125,0.0625,0.375,0.0625,0.0625,0.0625,0.0625,0.1875,1.0
28,Infinity ,0.7,0,0.16666666670000002,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.33333333330000003,0.08333333333000001,0.9999999999800002
29,2000 hours,0.4,0,0.09090909091,0.09090909091,0.1818181818,0.1818181818,0.1818181818,0.09090909091,0.09090909091,0.09090909091,0.99999999995
30,There is no way to know without additional information,0.7,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.5625,1.0
31,1 hour,0.9,1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.9999999999999999
32,1 hour,0.3,1,0.07142857142999999,0.14285714289999998,0.2142857143,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.2142857143,0.14285714289999998,1.00000000012
33,Infinity ,0.1,0,0.0625,0.0625,0.0625,0.0625,0.125,0.1875,0.25,0.1875,1.0
34,1000 minutes,0.6,0,0.0625,0.125,0.375,0.1875,0.0625,0.0625,0.0625,0.0625,1.0
35,2000 hours,0.4,0,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.2142857143,0.28571428569999996,0.14285714289999998,0.07142857142999999,0.07142857142999999,1.0000000000499998
36,Infinity ,0.6,0,0.05882352941,0.05882352941,0.05882352941,0.1176470588,0.1176470588,0.1176470588,0.2352941176,0.2352941176,0.9999999998299999
37,Infinity ,0.2,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
38,2000 hours,0.3,0,0.05882352941,0.1176470588,0.17647058820000003,0.1176470588,0.1176470588,0.05882352941,0.05882352941,0.2941176471,0.99999999993
39,Infinity ,0.5,0,0.1538461538,0.07692307692,0.07692307692,0.1538461538,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.99999999976
40,Infinity ,0.6,0,0.09090909091,0.09090909091,0.1818181818,0.09090909091,0.09090909091,0.09090909091,0.1818181818,0.1818181818,0.99999999995
41,There is no way to know without additional information,0.7,0,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.3571428571,1.0000000000499998
42,There is no way to know without additional information,0.8,0,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.22222222219999999,0.9999999999000001
43,1 hour,0.6,1,0.06666666667,0.06666666667,0.2,0.06666666667,0.06666666667,0.06666666667,0.1333333333,0.33333333330000003,0.99999999995
44,There is no way to know without additional information,0.1,0,0.09090909091,0.09090909091,0.09090909091,0.09090909091,0.09090909091,0.1818181818,0.1818181818,0.1818181818,0.99999999995
45,There is no way to know without additional information,0.8,0,0.0625,0.125,0.0625,0.125,0.125,0.125,0.125,0.25,1.0
46,1000 hours,0.3,0,0.07692307692,0.07692307692,0.2307692308,0.2307692308,0.07692307692,0.07692307692,0.1538461538,0.07692307692,1.0
47,Infinity ,0.4,0,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.22222222219999999,0.11111111109999999,0.9999999999
48,Infinity ,0.9,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.9999999999999999
49,Infinity ,0.2,0,0.2307692308,0.3076923077,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,0.07692307692,1.00000000002
50,Infinity ,0.6,0,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.41666666669999997,0.08333333333000001,1.00000000001
51,There is no way to know without additional information,1.0,0,0.0625,0.125,0.25,0.125,0.0625,0.0625,0.0625,0.25,1.0
52,1 hour,0.5,1,0.05882352941,0.05882352941,0.5294117647000001,0.05882352941,0.05882352941,0.05882352941,0.05882352941,0.1176470588,0.9999999999600002
53,There is no way to know without additional information,0.7,0,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.11111111109999999,0.22222222219999999,0.11111111109999999,0.9999999999
54,1000 hours,0.8,0,0.0625,0.0625,0.0625,0.3125,0.0625,0.0625,0.0625,0.3125,1.0
55,1000 hours,0.2,0,0.07692307692,0.07692307692,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.2307692308,0.07692307692,0.99999999988
56,There is no way to know without additional information,0.5,0,0.07692307692,0.1538461538,0.1538461538,0.1538461538,0.07692307692,0.07692307692,0.1538461538,0.1538461538,0.99999999976
57,There is no way to know without additional information,0.7,0,0.06666666667,0.06666666667,0.06666666667,0.1333333333,0.1333333333,0.1333333333,0.2,0.2,0.99999999991
58,1 hour,0.8,1,0.14285714289999998,0.07142857142999999,0.2142857143,0.14285714289999998,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.14285714289999998,1.00000000019
59,1000 hours,0.2,0,0.07142857142999999,0.07142857142999999,0.07142857142999999,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.14285714289999998,0.2142857143,1.0000000001899998
60,1 hour,0.9,1,0.0625,0.0625,0.375,0.125,0.0625,0.0625,0.125,0.125,1.0
61,1000 hours,0.6,0,0.08333333333000001,0.16666666670000002,0.16666666670000002,0.25,0.08333333333000001,0.08333333333000001,0.08333333333000001,0.08333333333000001,1.0000000000500002
62,1000 hours,0.3,0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
63,1000 hours,0.2,0,0.07692307692,0.07692307692,0.07692307692,0.1538461538,0.2307692308,0.1538461538,0.07692307692,0.1538461538,0.99999999988
64,1000 minutes,0.5,0,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,1.0
65,There is no way to know without additional information,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.0
66,1000 hours,0.1,0,0.0625,0.0625,0.1875,0.25,0.1875,0.0625,0.0625,0.125,1.0
67,1 hour,0.1,1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1.0
