,Answer,Confidence,Class,28,29,30,31,32,sum_prediction
0,28,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0
1,28,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0
2,30,1.0,0,0.1,0.1,0.65,0.1,0.05,1.0
3,28,0.8,1,0.65,0.1,0.25,0.0,0.0,1.0
4,30,0.9,0,0.1,0.2,0.35,0.25,0.1,1.0
5,28,0.9,1,0.6,0.0,0.4,0.0,0.0,1.0
6,28,1.0,1,0.95,0.0,0.05,0.0,0.0,1.0
7,28,0.9,1,0.5,0.0,0.25,0.25,0.0,1.0
8,30,0.9,0,0.0,0.05,0.9,0.05,0.0,1.0
9,29,1.0,0,0.05,0.8,0.05,0.05,0.05,1.0000000000000002
10,30,0.9,0,0.1,0.25,0.6,0.05,0.0,1.0
11,29,0.4,0,0.15,0.2,0.15,0.15,0.35,1.0
12,30,0.8,0,0.3,0.1,0.25,0.15,0.2,1.0
13,30,0.6,0,0.2,0.2,0.25,0.25,0.1,1.0
14,28,0.8,1,0.75,0.05,0.05,0.1,0.05,1.0
15,30,0.7,0,0.1,0.2,0.5,0.2,0.0,1.0
16,28,0.7,1,0.4,0.2,0.4,0.0,0.0,1.0
17,28,0.6,1,0.7,0.2,0.1,0.0,0.0,0.9999999999999999
18,28,0.3,1,0.2,0.2,0.2,0.2,0.2,1.0
19,29,0.7,0,0.05,0.5,0.35,0.1,0.0,1.0
20,28,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0
21,30,1.0,0,0.2,0.2,0.3,0.2,0.1,0.9999999999999999
22,28,0.8,1,0.1,0.15,0.75,0.0,0.0,1.0
23,30,0.8,0,0.05,0.05,0.8,0.1,0.0,1.0
24,30,0.5,0,0.05,0.15,0.45,0.3,0.05,1.0
25,28,0.9,1,0.8,0.05,0.05,0.05,0.05,1.0000000000000002
26,28,1.0,1,0.5,0.15,0.15,0.1,0.1,1.0
27,30,0.9,0,0.1,0.1,0.7,0.05,0.05,1.0
28,28,1.0,1,0.4,0.2,0.4,0.0,0.0,1.0
29,30,0.9,0,0.1,0.1,0.7,0.05,0.05,1.0
30,30,0.5,0,0.1,0.15,0.75,0.0,0.0,1.0
31,28,0.8,1,0.4,0.1,0.5,0.0,0.0,1.0
32,28,0.5,1,0.2,0.2,0.2,0.2,0.2,1.0
33,28,0.8,1,0.85,0.05,0.1,0.0,0.0,1.0
34,29,0.9,0,0.0,0.5,0.5,0.0,0.0,1.0
35,30,0.8,0,0.0,0.0,0.7,0.3,0.0,1.0
36,28,0.7,1,0.5,0.0,0.25,0.25,0.0,1.0
37,31,0.7,0,0.0,0.0,0.4,0.6,0.0,1.0
38,28,1.0,1,0.1,0.0,0.9,0.0,0.0,1.0
39,28,0.6,1,0.4,0.15,0.4,0.05,0.0,1.0
40,30,0.9,0,0.1,0.25,0.3,0.15,0.2,1.0
41,30,1.0,0,0.2,0.1,0.7,0.0,0.0,1.0
42,28,1.0,1,0.8,0.0,0.2,0.0,0.0,1.0
43,28,0.8,1,1.0,0.0,0.0,0.0,0.0,1.0
44,28,0.4,1,0.4,0.1,0.5,0.0,0.0,1.0
45,28,0.7,1,0.2,0.15,0.5,0.15,0.0,1.0
46,30,0.9,0,0.1,0.25,0.35,0.15,0.15,1.0
47,28,1.0,1,0.35,0.1,0.25,0.15,0.15,1.0
48,29,0.2,0,0.2,0.2,0.2,0.2,0.2,1.0
49,28,0.5,1,0.7,0.1,0.2,0.0,0.0,1.0
50,30,0.9,0,0.0,0.05,0.6,0.2,0.15,1.0
51,30,0.8,0,0.1,0.1,0.7,0.05,0.05,1.0
52,31,0.5,0,0.0,0.0,0.5,0.5,0.0,1.0
53,30,0.2,0,0.25,0.25,0.4,0.1,0.0,1.0
54,30,0.7,0,0.1,0.05,0.8,0.05,0.0,1.0
55,28,0.5,1,0.2,0.3,0.25,0.2,0.05,1.0
56,28,1.0,1,0.25,0.25,0.25,0.25,0.0,1.0
57,30,1.0,0,0.0,0.1,0.8,0.1,0.0,1.0
58,31,0.5,0,0.0,0.0,0.5,0.5,0.0,1.0
59,28,1.0,1,0.5,0.1,0.2,0.2,0.0,1.0
60,30,0.7,0,0.15,0.15,0.55,0.05,0.1,1.0000000000000002
61,30,1.0,0,0.1,0.1,0.55,0.15,0.1,1.0
62,28,1.0,1,0.5,0.2,0.3,0.0,0.0,1.0
63,28,0.9,1,0.6,0.1,0.3,0.0,0.0,1.0
64,28,0.4,1,0.65,0.0,0.15,0.2,0.0,1.0
65,28,0.8,1,0.75,0.0,0.25,0.0,0.0,1.0
