,Answer,Confidence,Class,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",sum_prediction
0,"BNPR, ACDF, EIUG",1.0,1,0.1,0.2,0.15,0.05,0.4,0.1,1.0000000000000002
1,"BNPR, ACDF, EIUG",1.0,1,0.0,0.05,0.15,0.05,0.7,0.05,1.0
2,"BNPR, ACDF, EIUG",1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,"BNPR, ACDF, EIUG",0.1,1,0.15,0.15,0.15,0.15,0.2,0.2,1.0
4,"BNPR, ACDF, EIUG",0.5,1,0.3,0.0,0.0,0.0,0.7,0.0,1.0
5,"BNPR, ACDF, EIUG",1.0,1,0.2,0.05,0.05,0.05,0.5,0.15,1.0
6,"BNPR, ACDF, EIUG",1.0,1,0.1,0.1,0.1,0.1,0.5,0.1,1.0
7,"ANPR, BCDF, EIUG",1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,"BNPR, ACDF, EIUG",1.0,1,0.2,0.0,0.0,0.0,0.6,0.2,1.0
9,"BNPR, ACDF, EIUG",1.0,1,0.3,0.05,0.05,0.05,0.5,0.05,1.0
10,"AERP, BGCD, FUIN",0.1,0,0.15,0.1,0.15,0.2,0.2,0.2,1.0
11,"BNPR, ACDF, EIUG",1.0,1,0.1,0.1,0.1,0.1,0.5,0.1,1.0
12,"BNPR, ACDF, EIUG",1.0,1,0.05,0.05,0.1,0.1,0.6,0.1,1.0
13,"BFRP, AUIE, GNDC",0.6,0,0.3,0.25,0.15,0.1,0.15,0.05,1.0
14,"BNPR, ACDF, EIUG",1.0,1,0.0,0.0,0.0,0.2,0.8,0.0,1.0
15,"BFRP, AUIE, GNDC",0.1,0,0.2,0.2,0.1,0.1,0.2,0.2,1.0
16,"BNPR, ACDF, EIUG",1.0,1,0.05,0.05,0.05,0.05,0.75,0.05,1.0
17,"BNPR, ACDF, EIUG",1.0,1,0.05,0.05,0.05,0.05,0.75,0.05,1.0
18,"AERP, BGCD, FUIN",0.1,0,0.2,0.2,0.2,0.2,0.1,0.1,1.0
19,"BFRP, AUIE, GNDC",0.3,0,0.25,0.25,0.15,0.15,0.15,0.05,1.0
20,"BNPR, ACDF, EIUG",0.1,1,0.2,0.1,0.15,0.3,0.15,0.1,1.0
21,"BFRP, AUIE, GNDC",1.0,0,0.9,0.05,0.05,0.0,0.0,0.0,1.0
22,"AERP, BGCD, FUIN",1.0,0,0.1,0.1,0.5,0.05,0.15,0.1,1.0
23,"BFRP, AUIE, GNDC",0.2,0,0.05,0.05,0.05,0.2,0.35,0.3,1.0
24,"CNRP, AGDS, EIOT",0.1,0,0.15,0.15,0.1,0.35,0.15,0.1,1.0
25,"CNRP, AGDS, EIOT",0.4,0,0.05,0.15,0.15,0.15,0.2,0.3,1.0
26,"BFRP, AUIE, GNDC",0.3,0,0.25,0.2,0.1,0.15,0.15,0.15,1.0
27,"BFRP, AUIE, GNDC",0.3,0,0.75,0.0,0.25,0.0,0.0,0.0,1.0
28,"BNPR, ACDF, EIUG",0.8,1,0.05,0.0,0.0,0.0,0.9,0.05,1.0
29,"BNPR, ACDF, EIUG",1.0,1,0.2,0.0,0.0,0.0,0.8,0.0,1.0
30,"CNRP, AGDS, EIOT",0.1,0,0.1,0.15,0.25,0.25,0.2,0.05,1.0
31,"BNPR, ACDF, EIUG",0.1,1,0.2,0.2,0.15,0.15,0.15,0.15,1.0
32,"CNRP, AGDS, EIOT",0.2,0,0.1,0.1,0.1,0.5,0.1,0.1,1.0
33,"BNPR, ACDF, EIUG",1.0,1,0.15,0.0,0.0,0.0,0.85,0.0,1.0
34,"BNPR, ACDF, EIUG",0.7,1,0.1,0.1,0.1,0.1,0.5,0.1,1.0
35,"BFRP, AUIE, GNDC",1.0,0,0.2,0.25,0.2,0.0,0.2,0.15,1.0
36,"BNPR, ACDF, EIUG",0.8,1,0.1,0.1,0.1,0.1,0.5,0.1,1.0
37,"BNPR, ACDF, EIUG",0.7,1,0.1,0.15,0.15,0.1,0.35,0.15,1.0
38,"BFRP, AUIE, GNDC",0.3,0,0.6,0.1,0.05,0.15,0.1,0.0,1.0
39,"BNPR, ACDF, EIUG",1.0,1,0.05,0.05,0.05,0.05,0.75,0.05,1.0
