,Answer,Confidence,Class,1,2,3,4,8,10,16,60,sum_prediction
0,8,0.5,0,0.05,0.0,0.0,0.1,0.25,0.1,0.3,0.2,1.0
1,3,0.6,1,0.0,0.1,0.2,0.35,0.35,0.0,0.0,0.0,1.0
2,8,0.3,0,0.15,0.0,0.05,0.1,0.6,0.05,0.05,0.0,1.0
3,8,0.1,0,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,1.0
4,3,0.5,1,0.05,0.05,0.4,0.25,0.25,0.0,0.0,0.0,1.0
5,3,1.0,1,0.0,0.05,0.2,0.4,0.35,0.0,0.0,0.0,1.0
6,4,0.1,0,0.0,0.1,0.15,0.35,0.4,0.0,0.0,0.0,1.0
7,8,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,8,0.3,0,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.9999999999999999
9,4,0.1,0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.0
10,8,0.1,0,0.0,0.0,0.0,0.0,0.35,0.15,0.2,0.3,1.0
11,8,0.6,0,0.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,1.0
12,3,1.0,1,0.0,0.0,0.5,0.3,0.2,0.0,0.0,0.0,1.0
13,4,1.0,0,0.0,0.0,0.15,0.5,0.3,0.05,0.0,0.0,1.0
14,8,1.0,0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0
15,4,0.4,0,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0.0,1.0
16,8,0.8,0,0.2,0.1,0.0,0.0,0.5,0.0,0.2,0.0,1.0
17,8,0.4,0,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0.0,1.0
18,8,0.5,0,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.0,1.0
19,8,1.0,0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0
20,10,0.3,0,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,1.0
21,8,0.9,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,1,1.0,0,0.5,0.1,0.0,0.05,0.1,0.05,0.1,0.1,1.0
23,1,0.2,0,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,1.0
24,4,0.1,0,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,1.0
25,8,0.5,0,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,1.0
26,8,0.8,0,0.2,0.25,0.15,0.05,0.35,0.0,0.0,0.0,1.0
27,8,1.0,0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,1.0
28,8,1.0,0,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,1.0
29,8,0.4,0,0.2,0.05,0.1,0.15,0.35,0.1,0.05,0.0,1.0
30,8,0.5,0,0.0,0.1,0.1,0.1,0.5,0.1,0.0,0.1,1.0
31,8,0.5,0,0.15,0.15,0.15,0.15,0.15,0.15,0.05,0.05,1.0
32,8,0.6,0,0.1,0.1,0.1,0.2,0.5,0.0,0.0,0.0,1.0
33,4,0.1,0,0.0,0.0,0.0,0.65,0.35,0.0,0.0,0.0,1.0
34,1,0.7,0,0.65,0.05,0.05,0.25,0.0,0.0,0.0,0.0,1.0
35,8,1.0,0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0
36,1,0.8,0,0.6,0.0,0.0,0.05,0.35,0.0,0.0,0.0,1.0
