,Answer,Confidence,Class,Less than 13 moves,13 moves,14 moves,15 moves,16 moves,More than 16 moves,sum_prediction
0,14 moves,0.9,0,0.0,0.25,0.3,0.2,0.15,0.1,1.0
1,More than 16 moves,0.5,0,0.02,0.04,0.07,0.12,0.25,0.5,1.0
2,13 moves,0.2,0,0.1,0.25,0.25,0.15,0.15,0.1,1.0
3,More than 16 moves,0.2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,More than 16 moves,0.4,0,0.0,0.0,0.1,0.2,0.2,0.5,1.0
5,More than 16 moves,0.7,0,0.1,0.2,0.2,0.2,0.2,0.1,0.9999999999999999
6,15 moves,0.1,1,0.05,0.1,0.15,0.2,0.25,0.25,1.0
7,More than 16 moves,0.8,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
8,Less than 13 moves,0.7,0,0.2,0.2,0.1,0.15,0.15,0.2,1.0
9,More than 16 moves,0.8,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,16 moves,0.4,0,0.0,0.05,0.2,0.2,0.4,0.15,1.0
11,15 moves,0.5,1,0.0,0.0,0.0,0.9,0.05,0.05,1.0
12,More than 16 moves,1.0,0,0.2,0.2,0.3,0.05,0.1,0.15,1.0
13,16 moves,0.2,0,0.1,0.1,0.3,0.3,0.2,0.0,1.0
14,More than 16 moves,0.8,0,0.15,0.2,0.15,0.2,0.15,0.15,1.0
15,More than 16 moves,0.6,0,0.0,0.05,0.1,0.1,0.2,0.55,1.0
16,15 moves,0.5,1,0.2,0.15,0.15,0.3,0.1,0.1,1.0
17,15 moves,0.7,1,0.0,0.1,0.65,0.15,0.05,0.05,1.0
18,More than 16 moves,1.0,0,0.0,0.0,0.0,0.2,0.3,0.5,1.0
19,14 moves,0.5,0,0.3,0.15,0.15,0.1,0.1,0.2,1.0
20,More than 16 moves,0.5,0,0.1,0.1,0.16,0.2,0.2,0.24,1.0
21,16 moves,0.9,0,0.01,0.1,0.1,0.1,0.19,0.5,1.0
22,More than 16 moves,0.9,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
23,15 moves,0.4,1,0.0,0.2,0.3,0.3,0.1,0.1,1.0
24,15 moves,0.5,1,0.05,0.1,0.15,0.4,0.2,0.1,1.0000000000000002
25,More than 16 moves,0.8,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
26,14 moves,0.1,0,0.1,0.2,0.2,0.1,0.2,0.2,1.0
27,15 moves,1.0,1,0.0,0.0,0.1,0.7,0.1,0.1,0.9999999999999999
28,15 moves,0.5,1,0.25,0.25,0.25,0.25,0.0,0.0,1.0
29,More than 16 moves,0.8,0,0.05,0.05,0.05,0.15,0.2,0.5,1.0
30,More than 16 moves,0.7,0,0.0,0.1,0.2,0.2,0.2,0.3,1.0
31,More than 16 moves,1.0,0,0.0,0.0,0.0,0.0,0.1,0.9,1.0
32,16 moves,0.8,0,0.1,0.1,0.2,0.2,0.2,0.2,1.0
33,More than 16 moves,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34,15 moves,1.0,1,0.13,0.13,0.14,0.15,0.16,0.29,1.0
35,More than 16 moves,0.3,0,0.0,0.0,0.1,0.15,0.3,0.45,1.0
36,More than 16 moves,1.0,0,0.05,0.05,0.05,0.15,0.3,0.4,1.0
37,15 moves,0.2,1,0.05,0.1,0.15,0.2,0.2,0.3,1.0
38,15 moves,0.6,1,0.1,0.1,0.15,0.4,0.15,0.1,1.0
39,15 moves,0.4,1,0.0,0.0,0.05,0.15,0.25,0.55,1.0
40,More than 16 moves,0.1,0,0.01,0.01,0.01,0.01,0.01,0.95,1.0
41,15 moves,0.8,1,0.03,0.1,0.2,0.5,0.1,0.07,1.0
42,More than 16 moves,0.4,0,0.05,0.1,0.1,0.2,0.2,0.35,1.0
43,16 moves,0.7,0,0.0,0.0,0.0,0.1,0.6,0.3,1.0
44,14 moves,0.9,0,0.1,0.1,0.1,0.1,0.3,0.3,1.0
45,14 moves,0.9,0,0.0,0.1,0.2,0.5,0.1,0.1,1.0
46,More than 16 moves,0.4,0,0.2,0.4,0.2,0.2,0.0,0.0,1.0
47,16 moves,0.7,0,0.2,0.1,0.15,0.25,0.2,0.1,1.0000000000000002
48,More than 16 moves,0.3,0,0.1,0.1,0.4,0.1,0.1,0.2,1.0
49,More than 16 moves,0.8,0,0.0,0.0,0.0,0.1,0.4,0.5,1.0
50,13 moves,0.2,0,0.25,0.25,0.25,0.2,0.05,0.0,1.0
51,More than 16 moves,1.0,0,0.05,0.15,0.25,0.3,0.1,0.15,1.0
52,16 moves,0.7,0,0.0,0.0,0.3,0.1,0.2,0.4,1.0
53,15 moves,1.0,1,0.3,0.3,0.2,0.1,0.05,0.05,1.0
54,15 moves,0.9,1,0.0,0.0,0.3,0.6,0.1,0.0,0.9999999999999999
55,15 moves,0.1,1,0.05,0.1,0.15,0.3,0.2,0.2,1.0
56,14 moves,0.5,0,0.1,0.2,0.3,0.1,0.1,0.2,1.0
57,More than 16 moves,1.0,0,0.01,0.01,0.27,0.11,0.2,0.4,1.0
58,More than 16 moves,0.6,0,0.0,0.0,0.25,0.25,0.25,0.25,1.0
59,14 moves,0.5,0,0.0,0.0,0.25,0.75,0.0,0.0,1.0
