,Answer,Confidence,Class,15 liter,18 liter,16 liter,19 liter,20 liter,31 liter,sum_prediction
0,16 liter,0.1,0,0.05,0.1,0.2,0.2,0.2,0.25,1.0
1,15 liter,0.2,0,0.25,0.25,0.2,0.15,0.15,0.0,1.0
2,20 liter,0.1,1,0.1,0.1,0.1,0.2,0.3,0.2,1.0
3,20 liter,0.2,1,0.15,0.15,0.15,0.3,0.2,0.05,1.0
4,16 liter,0.5,0,0.1,0.15,0.2,0.15,0.15,0.25,1.0
5,16 liter,1.0,0,0.1,0.2,0.6,0.05,0.05,0.0,1.0
6,19 liter,1.0,0,0.15,0.2,0.15,0.15,0.15,0.2,1.0
7,31 liter,0.6,0,0.08,0.25,0.04,0.1,0.25,0.28,1.0
8,15 liter,0.5,0,0.05,0.1,0.05,0.2,0.3,0.3,1.0
9,20 liter,0.5,1,0.1,0.05,0.05,0.05,0.7,0.05,1.0
10,31 liter,0.6,0,0.15,0.2,0.1,0.1,0.1,0.35,0.9999999999999999
11,15 liter,0.1,0,0.25,0.0,0.25,0.0,0.1,0.4,1.0
12,31 liter,0.8,0,0.15,0.2,0.2,0.15,0.2,0.1,1.0000000000000002
13,20 liter,0.5,1,0.1,0.2,0.1,0.05,0.55,0.0,1.0
14,20 liter,0.7,1,0.05,0.05,0.05,0.05,0.7,0.1,0.9999999999999999
15,20 liter,0.6,1,0.15,0.15,0.1,0.1,0.45,0.05,1.0
16,20 liter,0.7,1,0.15,0.15,0.15,0.2,0.25,0.1,0.9999999999999999
17,20 liter,0.4,1,0.15,0.15,0.15,0.2,0.2,0.15,0.9999999999999999
18,31 liter,0.4,0,0.25,0.15,0.1,0.15,0.1,0.25,1.0
19,31 liter,0.1,0,0.15,0.15,0.15,0.2,0.25,0.1,0.9999999999999999
20,20 liter,0.8,1,0.25,0.25,0.2,0.1,0.1,0.1,0.9999999999999999
21,31 liter,0.8,0,0.15,0.05,0.05,0.05,0.15,0.55,1.0
22,18 liter,0.4,0,0.2,0.2,0.1,0.2,0.15,0.15,1.0
23,31 liter,0.5,0,0.1,0.1,0.1,0.1,0.1,0.5,1.0
24,16 liter,0.8,0,0.15,0.2,0.3,0.1,0.1,0.15,0.9999999999999999
25,19 liter,0.5,0,0.15,0.0,0.1,0.3,0.25,0.2,1.0
26,31 liter,0.7,0,0.05,0.15,0.2,0.15,0.15,0.3,1.0
27,19 liter,0.1,0,0.2,0.15,0.15,0.2,0.15,0.15,1.0
28,19 liter,0.7,0,0.15,0.1,0.05,0.3,0.2,0.2,1.0
29,16 liter,0.7,0,0.9,0.0,0.1,0.0,0.0,0.0,1.0
30,16 liter,0.3,0,0.15,0.15,0.2,0.15,0.2,0.15,1.0
31,31 liter,0.8,0,0.05,0.1,0.1,0.1,0.2,0.45,1.0
32,18 liter,0.1,0,0.15,0.15,0.15,0.15,0.2,0.2,1.0
33,16 liter,0.1,0,0.2,0.2,0.15,0.15,0.15,0.15,1.0
34,20 liter,1.0,1,0.1,0.15,0.15,0.15,0.3,0.15,1.0
35,15 liter,0.5,0,0.25,0.1,0.1,0.05,0.2,0.3,1.0
36,31 liter,0.9,0,0.1,0.15,0.15,0.15,0.15,0.3,1.0
37,16 liter,0.4,0,0.15,0.15,0.15,0.15,0.2,0.2,1.0
38,19 liter,0.3,0,0.1,0.15,0.15,0.25,0.3,0.05,1.0
39,20 liter,0.9,1,0.1,0.05,0.05,0.1,0.6,0.1,1.0
40,15 liter,0.1,0,0.4,0.05,0.05,0.05,0.05,0.4,1.0
41,31 liter,0.2,0,0.1,0.1,0.1,0.1,0.3,0.3,1.0
42,20 liter,1.0,1,0.1,0.1,0.1,0.1,0.5,0.1,1.0
43,20 liter,1.0,1,0.1,0.1,0.1,0.1,0.5,0.1,1.0
44,18 liter,0.3,0,0.2,0.25,0.2,0.1,0.15,0.1,1.0
45,16 liter,0.5,0,0.2,0.2,0.2,0.1,0.1,0.2,1.0
46,16 liter,0.3,0,0.05,0.15,0.35,0.15,0.15,0.15,1.0
47,31 liter,0.5,0,0.1,0.1,0.2,0.1,0.1,0.4,1.0
48,20 liter,0.1,1,0.1,0.2,0.15,0.2,0.15,0.2,1.0000000000000002
49,20 liter,0.9,1,0.1,0.15,0.15,0.15,0.4,0.05,1.0
50,18 liter,0.4,0,0.2,0.6,0.1,0.05,0.05,0.0,1.0
51,18 liter,1.0,0,0.1,0.3,0.15,0.1,0.2,0.15,1.0
52,20 liter,1.0,1,0.0,0.15,0.15,0.05,0.6,0.05,1.0
53,18 liter,0.1,0,0.15,0.15,0.2,0.2,0.2,0.1,0.9999999999999999
54,19 liter,0.5,0,0.15,0.2,0.2,0.2,0.1,0.15,1.0
55,20 liter,0.8,1,0.2,0.05,0.05,0.1,0.25,0.35,1.0
56,19 liter,0.2,0,0.15,0.15,0.2,0.2,0.15,0.15,1.0
57,31 liter,0.3,0,0.2,0.15,0.15,0.15,0.15,0.2,1.0
58,18 liter,0.2,0,0.1,0.25,0.25,0.15,0.15,0.1,1.0
59,16 liter,0.2,0,0.1,0.3,0.35,0.1,0.1,0.05,1.0
60,20 liter,0.8,1,0.1,0.1,0.1,0.15,0.4,0.15,1.0
61,31 liter,0.9,0,0.15,0.1,0.15,0.2,0.15,0.25,1.0
62,20 liter,0.7,1,0.1,0.15,0.15,0.2,0.25,0.15,1.0
63,19 liter,0.2,0,0.2,0.2,0.2,0.2,0.1,0.1,1.0
64,20 liter,0.9,1,0.05,0.05,0.1,0.05,0.7,0.05,1.0
65,31 liter,0.3,0,0.15,0.1,0.1,0.15,0.25,0.25,1.0
66,16 liter,0.1,0,0.2,0.2,0.15,0.15,0.15,0.15,1.0
67,20 liter,0.8,1,0.2,0.1,0.1,0.2,0.3,0.1,1.0000000000000002
68,15 liter,0.4,0,0.2,0.2,0.2,0.2,0.1,0.1,1.0
69,19 liter,0.6,0,0.15,0.15,0.2,0.2,0.15,0.15,1.0
70,20 liter,0.8,1,0.1,0.15,0.15,0.15,0.35,0.1,1.0
71,31 liter,0.6,0,0.2,0.1,0.1,0.1,0.15,0.35,1.0
72,20 liter,0.3,1,0.1,0.1,0.1,0.15,0.35,0.2,1.0
