,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,dataset_id
1,0.000246914,0.098785281,1,1,27,1,42,42,0.178844913,0,92,1764,21,0.052333333,0.034274778,0.05942084,3.27E-05,0.77173913,0.684782609,0.532608696,0.081847826,1,0,0.41,0.24,0.918152174,0.94125,0.142110867,0,0.020195499,1,1,0,0.858695652,0,0,0.920543478,0.116146124,0.013489922,0,92,0.079456522,0.116146124,0.013489922,0,1,1,1
2,0.001728395,0.17531945,1,3,63,1,32,32,0.4264615,0.4264615,92,1024,16,0.157333333,0.093471556,0.012068667,0.007502355,0.652173913,0.619565217,0.565217391,0.142934783,1,0,0.83,0,0.857065217,0.861923077,0.245947759,0.043478261,0.0604903,1,1,0,0.75,2,0,0.652934783,0.335405459,0.112496822,0,92,0.347065217,0.335405459,0.112496822,0,1,1,1
3,0.001728395,0.080152947,1,3,81,1,40,40,0.241088313,0,92,1600,20,0.041,0.003322556,0.005138889,0.000583702,0.510869565,0.423913043,0.315217391,0.146304348,1,0,0.568333333,0.47,0.853695652,0.873604651,0.150084885,0,0.022525473,1,1,0,0.652173913,0,0,0.831195652,0.153111514,0.023443136,0,92,0.168804348,0.153111514,0.023443136,0,1,1,1
4,0.022469136,0.242585972,0,9,99,1,9,9,0.673883273,0.673883273,92,81,4.5,0.033333333,0.018146667,0.00034213,0.001242944,0.130434783,0.065217391,0.054347826,0.316630435,1,0,0.635675676,0.17,0.683369565,0.715454545,0.17557531,0,0.03082669,1,1,0,0.239130435,0,0,0.561521739,0.215330559,0.04636725,3,92,0.438478261,0.215330559,0.04636725,0,1,1,1
5,0.001728395,0.150598314,1,3,57,1,30,30,0.462036909,0.462036909,92,900,15,0.070666667,0.025005778,0.001259877,0.001227125,0.380434783,0.315217391,0.27173913,0.22423913,1,0,0.58375,0.05,0.77576087,0.816184211,0.208369622,0.010869565,0.043417899,1,1,0,0.445652174,0,0,0.718152174,0.223348671,0.049884629,1,92,0.281847826,0.223348671,0.049884629,0,1,1,1
6,0.000987654,0.067591521,1,2,28,1,21,21,0.584980956,0.584980956,92,441,10.5,0.087666667,0.020559667,0.004025687,0.002438503,0.347826087,0.239130435,0.206521739,0.222173913,1,0,0.7248,0.08,0.777826087,0.79761194,0.191333002,0.02173913,0.036608318,1,1,0,0.423913043,0,0,0.650978261,0.258107914,0.066619695,0,92,0.349021739,0.258107914,0.066619695,0,1,1,1
7,0.000740741,0.125478235,1,2,44,1,34,34,0.387212375,0,92,1156,17,0.091666667,0.030289444,0.018566321,0.000302091,0.554347826,0.467391304,0.434782609,0.145434783,1,0,0.600833333,0.1,0.854565217,0.892625,0.192954224,0.010869565,0.037231333,1,1,0,0.619565217,0,0,0.756630435,0.247396343,0.06120495,2,92,0.243369565,0.247396343,0.06120495,0,1,1,1
8,0.000246914,0.049841215,1,1,19,1,29,29,0.478568627,0.478568627,92,841,14.5,0.084333333,0.018823889,0.002951056,0.00061075,0.423913043,0.326086957,0.282608696,0.198913043,1,0,0.647647059,0,0.801086957,0.835866667,0.209862566,0.02173913,0.044042297,1,1,0,0.456521739,0,0,0.698152174,0.227968006,0.051969412,2,92,0.301847826,0.227968006,0.051969412,0,1,1,1
9,0.01654321,0.192744757,0,2,32,1,16,16,0.63137278,0.63137278,92,256,8,0.050666667,0.042434222,0.00050825,0.001313117,0.47826087,0.369565217,0.293478261,0.191195652,1,0,0.801333333,0,0.808804348,0.812419355,0.211813302,0.02173913,0.044864875,1,1,0,0.52173913,1,0,0.557173913,0.322585769,0.104061578,1,92,0.442826087,0.322585769,0.104061578,0,1,1,1
10,0.005185185,0.156755338,1,5,65,1,19,19,0.605236752,0.605236752,92,361,9.5,0.105666667,0.029188333,0.003694222,0.001239538,0.347826087,0.25,0.22826087,0.224565217,1,0,0.744074074,0.15,0.775434783,0.788461538,0.201021376,0.010869565,0.040409594,1,1,0,0.391304348,0,0,0.572608696,0.273809159,0.074971456,1,92,0.427391304,0.273809159,0.074971456,0,1,1,1
11,0.002222222,0.205631182,1,3,69,1,34,34,0.387212375,0,92,1156,17,0.060333333,0.051837889,0.015926389,0.000316102,0.543478261,0.5,0.423913043,0.171521739,1,0,0.543333333,0,0.828478261,0.87125,0.228482398,0.02173913,0.052204206,1,1,0,0.423913043,0,0,0.69173913,0.231590008,0.053633932,2,92,0.30826087,0.231590008,0.053633932,0,1,1,1
12,0.000246914,0.03664239,1,1,15,1,23,23,0.562335145,0.562335145,92,529,11.5,0.022666667,0.002297667,0.006449871,0.000985535,0.22826087,0.163043478,0.152173913,0.273913043,1,0,0.679130435,0.14,0.726086957,0.74173913,0.192782579,0.010869565,0.037165123,1,1,0,0.282608696,0,0,0.660434783,0.204853675,0.041965028,0,92,0.339565217,0.204853675,0.041965028,0,1,1,1
13,0.004691358,0.218189835,1,5,85,1,25,25,0.537166376,0.537166376,92,625,12.5,0.015333333,0.016541778,0.003318056,0.000322184,0.326086957,0.25,0.141304348,0.223152174,1,0,0.643809524,0.25,0.776847826,0.816197183,0.178812079,0,0.031973759,1,1,0,0.315217391,0,0,0.659456522,0.20930716,0.043809487,0,92,0.340543478,0.20930716,0.043809487,0,1,1,1
14,0.001728395,0.080152947,1,3,81,1,41,41,0.211123404,0,92,1681,20.5,0.021,0.015303556,0.031266667,0.000205163,0.597826087,0.52173913,0.467391304,0.122065217,1,0,0.502,0.26,0.877934783,0.89954023,0.17018237,0,0.028962039,1,1,0,0.673913043,0,0,0.817173913,0.161637854,0.026126796,3,92,0.182826087,0.161637854,0.026126796,0,1,1,1
15,0.014074074,0.190520886,1,8,80,1,18,18,0.610864302,0.610864302,90,324,9,0.084333333,0.022677667,4.88E-05,0.00262216,0.188888889,0.133333333,0.1,0.322111111,1,0,0.532962963,0.04,0.677888889,0.74,0.227393416,0.044444444,0.051707765,1,1,0,0.3,1,0,0.662333333,0.224024056,0.050186778,5,90,0.337666667,0.224024056,0.050186778,0,1,1,1
16,0.006666667,0.082282879,0,3,27,1,8,8,0.677947136,0.677947136,92,64,4,0.08,0.018903556,0.0008094,0.002436405,0.369565217,0.282608696,0.217391304,0.230434783,1,0,0.767894737,0,0.769565217,0.770740741,0.206038795,0.010869565,0.042451985,1,1,0,0.347826087,2,0,0.5075,0.263960739,0.069675272,3,92,0.4925,0.263960739,0.069675272,0,1,1,1
17,0.002222222,0.129353963,1,3,51,1,27,27,0.509311623,0.509311623,92,729,13.5,0.102666667,0.025854333,0.028851638,0.000334124,0.336956522,0.25,0.173913043,0.236521739,1,0,0.597894737,0.09,0.763478261,0.806575342,0.204893582,0.010869565,0.04198138,1,1,0,0.445652174,0,0,0.685543478,0.225982705,0.051068183,4,92,0.314456522,0.225982705,0.051068183,0,1,1,1
18,0.003950617,0.073367463,1,4,32,1,11,11,0.664276572,0.664276572,92,121,5.5,0.025666667,0.046799222,0.00312807,0.000378099,0.217391304,0.163043478,0.119565217,0.288043478,1,0,0.604,0.03,0.711956522,0.778245614,0.216650586,0.032608696,0.046937476,1,1,0,0.282608696,0,0,0.596521739,0.242596618,0.058853119,3,92,0.403478261,0.242596618,0.058853119,0,1,1,1
19,0.003209877,0.054409141,1,4,24,1,9,9,0.673883273,0.673883273,92,81,4.5,0.104,0.017547,0.001692107,0.004777717,0.391304348,0.336956522,0.326086957,0.223043478,1,0,0.741351351,0,0.776956522,0.800909091,0.231167825,0.02173913,0.053438563,1,1,0,0.347826087,0,0,0.516521739,0.279512132,0.078127032,1,92,0.483478261,0.279512132,0.078127032,0,1,1,1
20,0.000246914,0.057886742,1,1,21,1,32,32,0.4264615,0.4264615,92,1024,16,0.056333333,0.039149667,0.001233062,0.000464375,0.47826087,0.402173913,0.282608696,0.185543478,1,0,0.648571429,0.05,0.814456522,0.844230769,0.212451345,0.010869565,0.045135574,1,1,0,0.586956522,0,0,0.74173913,0.245115805,0.060081758,1,92,0.25826087,0.245115805,0.060081758,0,1,1,1
21,0.001728395,0.246529721,1,3,75,1,38,38,0.295439192,0,92,1444,19,0.031333333,0.016522222,0.015131432,1.24E-05,0.402173913,0.326086957,0.293478261,0.195217391,1,0,0.58375,0.16,0.804782609,0.825833333,0.182038447,0,0.033137996,1,1,0,0.510869565,0,0,0.756847826,0.192466425,0.037043325,0,92,0.243152174,0.192466425,0.037043325,0,1,1,1
22,0.003950617,0.136111745,1,4,56,1,23,23,0.562335145,0.562335145,92,529,11.5,0.042666667,0.006097778,0.000625723,0.001446247,0.380434783,0.282608696,0.25,0.224347826,1,0,0.662608696,0.31,0.775652174,0.813333333,0.200690679,0,0.040276749,1,1,0,0.315217391,0,0,0.611630435,0.248382932,0.061694081,3,92,0.388369565,0.248382932,0.061694081,0,1,1,1
