,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,dataset_id
0,0.003006128,0.096408997,1,4,44,1,17.5,17.5,0.620555446,0.620555446,93,306.25,8.75,0.082903226,0.047401457,0.00170877,0.001915339,0.408602151,0.35483871,0.290322581,0.220430108,1,0,0.729310345,0.06,0.779569892,0.80234375,0.224599591,0.010752688,0.050444976,1,1,0,0.397849462,0,0,0.576236559,0.286903805,0.082313794,0.021505376,1,0.423763441,0.286903805,0.082313794,0,1,1,1
1,0.000693722,0.145325826,1,2,50,1,37.5,37.5,0.31793678,0,93,1406.25,18.75,0.053225806,0.013469511,0.000254321,3.47E-05,0.462365591,0.333333333,0.290322581,0.183333333,1,0,0.555555556,0.12,0.816666667,0.844642857,0.194910144,0.010752688,0.037989964,1,1,0,0.559139785,0,0,0.766666667,0.192411596,0.037022222,0.021505376,1,0.233333333,0.192411596,0.037022222,0,1,1,1
2,0,0,1,0,0,1,37.5,37.5,0.31793678,0,93,1406.25,18.75,0.056129032,0.025040375,0.004390889,0.00010456,0.537634409,0.419354839,0.35483871,0.168387097,1,0,0.614444444,0.1,0.831612903,0.854880952,0.202836288,0.010752688,0.04114256,1,1,0,0.741935484,0,0,0.824623656,0.203562672,0.041437762,0.043010753,1,0.175376344,0.203562672,0.041437762,0,1,1,1
3,0.005781015,0.086016958,1,5,40,1,14.5,14.5,0.643708583,0.643708583,93,210.25,7.25,0.093870968,0.065923829,0.000395191,0.004500456,0.408602151,0.365591398,0.333333333,0.260215054,1,0,0.7378125,0,0.739784946,0.740819672,0.282519306,0.075268817,0.079817158,1,1,0,0.408602151,0,0,0.519784946,0.303683404,0.09222361,0.032258065,1,0.480215054,0.303683404,0.09222361,0,1,1,1
4,0.001618684,0.111112815,1,3,48,1,24.5,24.5,0.547081157,0.547081157,93,600.25,12.25,0.043870968,0.011915921,0.002786077,0.000472545,0.419354839,0.279569892,0.204301075,0.197204301,1,0,0.706818182,0.3,0.802795699,0.832535211,0.178339808,0,0.031805087,1,1,0,0.440860215,0,0,0.697526882,0.230719566,0.053231518,0.021505376,1,0.302473118,0.230719566,0.053231518,0,1,1,1
5,0.008555902,0.36322317,1,7,140,1,30.5,30.5,0.459110923,0.459110923,93,930.25,15.25,0.071612903,0.035297607,0.041536222,6.57E-05,0.376344086,0.333333333,0.311827957,0.230322581,1,0,0.654375,0.13,0.769677419,0.793636364,0.221449048,0.021505376,0.049039681,1,1,0,0.408602151,0,0,0.684086022,0.241417127,0.058282229,0.043010753,1,0.315913978,0.241417127,0.058282229,0,1,1,1
6,0.009943346,0.36322317,1,7,140,1,32.5,32.5,0.423640537,0.423640537,93,1056.25,16.25,0.014193548,0.02679563,0.019629167,9.19E-05,0.516129032,0.397849462,0.376344086,0.184946237,1,0,0.448571429,0.06,0.815053763,0.88,0.236686916,0.021505376,0.056020696,1,1,0,0.580645161,0,0,0.786989247,0.18898589,0.035715667,0.032258065,1,0.213010753,0.18898589,0.035715667,0,1,1,1
7,0.001618684,0.129219363,1,3,54,1,27.5,27.5,0.506307477,0.506307477,93,756.25,13.75,0.052258065,0.01131488,0.009150347,0.000984115,0.268817204,0.193548387,0.139784946,0.277204301,1,0,0.61,0.09,0.722795699,0.751756757,0.20989688,0.021505376,0.0440567,1,1,0,0.376344086,0,0,0.652473118,0.219180565,0.04804012,0.021505376,1,0.347526882,0.219180565,0.04804012,0,1,1,1
8,0.002081165,0,1,3,84,1,43.5,43.5,0.142505867,0,93,1892.25,21.75,0.116451613,0.02010718,0.035203076,0.002561059,0.440860215,0.301075269,0.23655914,0.172795699,1,0,0.49,0.2,0.827204301,0.838444444,0.176959783,0,0.031314765,1,1,0,0.580645161,0,0,0.792258065,0.159906754,0.02557017,0.010752688,1,0.207741935,0.159906754,0.02557017,0,1,1,1
9,0.006474737,0.331805617,1,6,126,1,32.5,32.5,0.423640537,0.423640537,93,1056.25,16.25,0.017419355,0.019180853,0.002499113,4.73E-06,0.290322581,0.193548387,0.182795699,0.237634409,1,0,0.583571429,0.09,0.762365591,0.794050633,0.191184187,0.010752688,0.036551393,1,1,0,0.376344086,0,0,0.716666667,0.182770397,0.033405018,0.021505376,1,0.283333333,0.182770397,0.033405018,0,1,1,1
