,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,HAC,MR,NA,NONE,SP,WC,dataset_id
0,0.012098765,0.311431195,1,7,119,1,22,22,0.568356643,0.568356643,90,484,11,0.084666667,0.055230222,0.053185727,0.000808878,0.355555556,0.233333333,0.166666667,0.251333333,1,0,0.634347826,0.05,0.748666667,0.787910448,0.221500941,0.022222222,0.049062667,0.422222222,0,0,0.685666667,0.233228786,0.054395667,0.055555556,1,0.314333333,0.233228786,0.054395667,0,1,1,0,0,1,1,1
1,0.005185185,0.056633012,0,4,24,1,4,4,0.689191344,0.689191344,90,16,2,0.001666667,0.016971667,0.015316868,0.000531499,0.1,0.077777778,0.044444444,0.416777778,1,0,0.446829268,0.02,0.583222222,0.697346939,0.232182054,0.066666667,0.053908506,0.266666667,0,0,0.617888889,0.21664356,0.046934432,0.055555556,1,0.382111111,0.21664356,0.046934432,0,1,1,0,0,0,1,1
2,0.003209877,0.054409141,1,4,24,1,10,10,0.668248478,0.668248478,90,100,5,0.033666667,0.025001778,0.003179265,0.000551372,0.488888889,0.355555556,0.255555556,0.193333333,1,0,0.782571429,0.02,0.806666667,0.822,0.222755471,0.022222222,0.04962,0.466666667,0,0,0.602444444,0.300859181,0.090516247,0.022222222,1,0.397555556,0.300859181,0.090516247,0,0,0,1,1,0,0,1
3,0.001056943,0.127098806,1,2,42,1,30.5,30.5,0.435171076,0.435171076,89,930.25,15.25,0.076896552,0.038347681,0.00147121,0.002120492,0.415730337,0.314606742,0.235955056,0.204606742,1,0,0.57,0.01,0.795393258,0.837466667,0.227300011,0.033707865,0.051665295,0.550561798,0,0,0.74741573,0.218367426,0.047684333,0.04494382,1,0.25258427,0.218367426,0.047684333,0,1,1,0,0,1,1,1
4,0.003435064,0.220070408,1,4,76,1,29.5,29.5,0.45356255,0.45356255,89,870.25,14.75,0.106206897,0.027254221,0.00970417,0.000900052,0.258426966,0.134831461,0.134831461,0.271797753,1,0,0.314,0,0.728202247,0.812162162,0.255156096,0.06741573,0.065104633,0.550561798,0,0,0.769438202,0.172440249,0.029735639,0.04494382,1,0.230561798,0.172440249,0.029735639,0,1,1,0,0,1,1,1
5,0.004227771,0.258860895,1,4,84,1,29.5,29.5,0.45356255,0.45356255,89,870.25,14.75,0.065517241,0.046893936,0.00749484,0.000154146,0.370786517,0.258426966,0.202247191,0.248202247,1,0,0.418666667,0,0.751797753,0.819324324,0.252464534,0.04494382,0.063738341,0.629213483,0,0,0.795505618,0.200493835,0.040197778,0.056179775,1,0.204494382,0.200493835,0.040197778,0,1,1,0,0,1,1,1
6,0.001056943,0.108625837,1,2,38,1,28.5,28.5,0.471052563,0.471052563,89,812.25,14.25,0.051724138,0.013732699,0.001482099,0.003612593,0.393258427,0.247191011,0.202247191,0.239662921,1,0,0.48125,0,0.760337079,0.821506849,0.240754663,0.033707865,0.057962808,0.516853933,0,0,0.778202247,0.16878656,0.028488903,0.033707865,1,0.221797753,0.16878656,0.028488903,0,1,1,0,0,1,1,1
7,0.000264236,0.009577429,1,1,4,1,5.5,5.5,0.68548969,0.68548969,89,30.25,2.75,0.022758621,0.021161237,0.003245072,0.003006067,0.483146067,0.325842697,0.247191011,0.279775281,1,0,0.550512821,0,0.720224719,0.8526,0.32713938,0.134831461,0.107020174,0.595505618,0,0,0.703258427,0.286398698,0.082024214,0.033707865,1,0.296741573,0.286398698,0.082024214,0,0,0,1,0,1,0,1
8,0.00554895,0.218186428,1,5,80,1,26.5,26.5,0.503501955,0.503501955,89,702.25,13.25,0.062758621,0.031203805,0.015692747,0.00097916,0.460674157,0.337078652,0.280898876,0.201685393,1,0,0.513333333,0.02,0.798314607,0.87056338,0.243680745,0.06741573,0.059380306,0.685393258,0,0,0.822696629,0.189403345,0.035873627,0.011235955,1,0.177303371,0.189403345,0.035873627,0,1,1,0,0,0,1,1
9,0,0,1,0,0,1,20.5,20.5,0.582923286,0.582923286,89,420.25,10.25,0.126551724,0.058369322,0.019788224,0.000357523,0.292134831,0.179775281,0.112359551,0.273146067,1,0,0.53375,0,0.726853933,0.798153846,0.245322972,0.033707865,0.060183361,0.449438202,0,0,0.715393258,0.215620642,0.046492261,0.02247191,1,0.284606742,0.215620642,0.046492261,0,0,0,1,1,0,0,1
10,0.0073986,0.103549927,1,6,42,1,12.5,12.5,0.653159166,0.653159166,89,156.25,6.25,0.089310345,0.029219738,0.004126941,8.26E-05,0.292134831,0.224719101,0.134831461,0.280561798,1,0,0.5459375,0.01,0.719438202,0.816842105,0.247728374,0.04494382,0.061369347,0.404494382,0.02247191,0,0.699101124,0.216190929,0.046738518,0.02247191,1,0.300898876,0.216190929,0.046738518,0,0,0,1,0,1,0,1
11,0.003170828,0.048366755,0,4,20,1,1.5,1.5,0.692578963,0.692578963,89,2.25,0.75,0.055862069,0.041801665,0.014640028,0.015452573,0.258426966,0.146067416,0.112359551,0.313370787,1,0,0.564186047,0.07,0.686629213,0.801086957,0.24473303,0.04494382,0.059894256,0.348314607,0,0,0.639550562,0.249317766,0.062159349,0.033707865,1,0.360449438,0.249317766,0.062159349,0,0,0,1,0,1,0,1
12,0.015061728,0.347928694,1,9,135,1,22,22,0.568356643,0.568356643,90,484,11,0.089333333,0.008282222,0.008170862,0.000271258,0.4,0.266666667,0.188888889,0.230444444,1,0,0.617391304,0.05,0.769555556,0.821791045,0.224756219,0.044444444,0.050515358,0.488888889,0.011111111,0,0.684444444,0.247844535,0.061426914,0.033333333,1,0.315555556,0.247844535,0.061426914,0,1,1,0,0,1,1,1
13,0.012947549,0.182736833,1,8,72,1,13.5,13.5,0.646397067,0.646397067,89,182.25,6.75,0.089310345,0.017108205,0.00283841,0.00023317,0.359550562,0.224719101,0.157303371,0.320786517,1,1,0.822903226,0,0.679213483,0.602413793,0.309186045,0.112359551,0.095596011,0.528089888,0,0,0.542696629,0.323494835,0.104648908,0.011235955,1,0.457303371,0.323494835,0.104648908,0,0,1,0,0,1,1,1
