,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,ALL,dataset_id
0,0.003950617,0.057536414,1,0.521835246,2.545454545,1,7.091872741,19.09187274,2.115401562,0,92,47.72222222,0.412037037,0.173333333,0.070044444,0.002222222,0.026202129,0.152173913,0.108695652,0.108695652,0.626086957,1,0,0.1,0.1,0.373913043,0.662962963,0.310983561,0.358695652,0.096710775,1,1,0,0.065217391,1,3,0.181956522,0.231198386,0.053452694,4,67,0.043804348,0.047476365,0.002254005,2,1,1,1,0
1,0.006076389,0.153168482,0,2.649529771,20,1,4.32738247,21.32738247,1.262139166,1.066458089,98,136.25,2.125,0.05,0.003945312,0.061666667,0.000137388,0.367346939,0.214285714,0.214285714,0.265306122,1,1,0.6,0.1,0.734693878,0.731707317,0.227274015,0.010204082,0.051653478,1,0,0,0.224489796,4,0,0.368877551,0.240059018,0.057628332,4,98,0.128061224,0.136663285,0.018676853,0,0,0,0,0
2,0.005185185,0.446060496,1,1.997269073,25,1,11.62299574,34.62299574,1.115028067,0.61724177,91,337.7142857,2.12244898,0.006666667,0.006366667,0.008888889,0.000125338,0.725274725,0.582417582,0.582417582,0.107692308,1,1,0.4,0.4,0.892307692,0.898148148,0.167220831,0,0.027962806,0,0,1,0.373626374,5,0,0.462637363,0.312785554,0.097834803,0,82,0.036703297,0.05821625,0.003389132,4,0,0,0,0
3,0.003527337,0.239139491,0,1.121547085,3.75,1,-2.242640687,8.757359313,1.933947159,1.090691321,64,18,0.46875,0.10952381,0.039818594,0.028888889,0.002916667,0.1875,0.09375,0.09375,0.4234375,1,1,0.3,0.1,0.5765625,0.533333333,0.266189657,0.09375,0.070856934,0,1,0,0.109375,2,2,0.19921875,0.234442855,0.054963452,4,57,0.0796875,0.101195491,0.010240527,3,1,0,0,0
4,0.008821676,0.357630354,0,2.790074483,18.5,1,-4.088723439,8.911276561,1.302358444,1.040949146,70,50.25,1.75,0.056521739,0.039924386,0.011666667,0.008254729,0.285714286,0.214285714,0.214285714,0.292857143,1,1,0.72,0.1,0.707142857,0.707692308,0.241022482,0.028571429,0.058091837,0,0,1,0.142857143,1,0,0.31,0.271714135,0.073828571,3,70,0.151428571,0.171124731,0.029283673,0,0,0,0,0
5,0.002700617,0.107880777,1,1.124796353,7.2,1,8.214296142,19.21429614,1.406829813,0.997271523,74,95.76,1.472,0.116666667,0.032447917,0.011666667,1.77E-05,0.364864865,0.216216216,0.216216216,0.293243243,1,1,0.775,0.1,0.706756757,0.727272727,0.252731607,0.040540541,0.063873265,0,0,1,0.108108108,4,0,0.329054054,0.233800382,0.054662619,1,74,0.120945946,0.109417743,0.011972243,0,0,0,0,0
6,0.003472222,0.28079421,0,1.779617626,11.42857143,1,8.713186878,13.71318688,1.179132411,0,97,86.24489796,1.495626822,0.090625,0.014638672,0.007654321,0.001516667,0.350515464,0.216494845,0.216494845,0.318556701,1,1,0.36,0.1,0.681443299,0.778571429,0.267223177,0.041237113,0.071408226,0,1,0,0.144329897,0,0,0.228350515,0.225849679,0.051008077,1,52,0.080412371,0.113045362,0.012779254,0,1,1,0,0
7,0.000925375,0.130155387,0,1.694535849,27,1,1.082007614,42.08200761,1.589269947,0.670819844,248,525.234375,2.765625,0.091463415,0.010171029,0.017222222,0.002023915,0.137096774,0.052419355,0.052419355,0.476612903,1,1,0.6,0.1,0.523387097,0.575362319,0.265824606,0.080645161,0.070662721,0,0,1,0,11,0,0.163136469,0.102493441,0.010504906,1,183,0.094216507,0.046927742,0.002202213,0,0,0,0,0
8,0.001519097,0.170340065,0,1.351408738,16,1,-7.465394356,21.53460564,1.143119236,0.685314207,97,305.04,3.296,0.121875,0.049462891,0.037638889,0.001203945,0.484536082,0.24742268,0.24742268,0.224742268,1,0,0.716666667,0.1,0.775257732,0.793333333,0.222465532,0.010309278,0.049490913,1,1,0,0.216494845,2,0,0.366804124,0.288620321,0.08330169,2,97,0.055154639,0.09009861,0.00811776,0,1,1,1,0
9,0.004123264,0.308230338,0,2.410565429,22.4,1,-9.659088952,21.34091105,1.321707508,1.048045332,98,214.8888889,2.166666667,0.04375,0.005556641,0.023888889,0.001377186,0.102040816,0.051020408,0.051020408,0.463265306,1,1,0.25,0.1,0.536734694,0.531578947,0.252492778,0.132653061,0.063752603,0,1,0,0.132653061,3,0,0.235816327,0.216299695,0.046785558,3,96,0.122142857,0.123250987,0.015190806,1,1,1,0,0
